Size,Package
55915,libmnl
55737,keyutils-libs
55724,fstrm
55407,libsss_sudo
55203,libnfnetlink
54710,numactl-libs
53534,NetworkManager-team
52421,device-mapper-event
50952,hostname
50611,libargon2
50579,npth
50506,libsigsegv
48871,container-selinux
46732,libluksmeta
46163,libeconf
45632,cyrus-sasl-gssapi
41274,libacl
37617,libkcapi-hmaccalc
35052,rpm-ostree-libs
34845,libuuid
32644,luksmeta
30469,libverto
29533,libattr
27533,iptables-services
26155,inih
25743,selinux-policy
18520,bind-license
17392,nss-altfiles
16524,rpm-plugin-selinux
16413,fedora-release-common
14517,console-login-helper-messages
14187,pkgconf-m4
11481,dbus-common
8759,systemd-rpm-macros
6627,console-login-helper-messages-issuegen
5313,clevis-dracut
4597,fedora-repos
4042,fedora-repos-modular
3061,afterburn-dracut
2843,clevis-systemd
2380,WALinuxAgent-udev
1866,fedora-release-identity-coreos
1810,elfutils-default-yama-scope
1496,console-login-helper-messages-motdgen
1203,pkgconf-pkg-config
986,fedora-repos-archive
728,console-login-helper-messages-profile
297,fedora-repos-ostree
277,libssh-config
106,filesystem
38,fuse-common
31,grub2-pc
0,basesystem
0,dbus
0,efi-filesystem
0,fedora-release-coreos
0,glibc-minimal-langpack
0,kernel
0,libreport-filesystem
