Name,Frequency,Size,Src
psmisc-23.4-4.fc37.x86_64,0,600871,psmisc-23.4-4.fc37.src.rpm
systemd-resolved-251.8-586.fc37.x86_64,23,585581,systemd-251.8-586.fc37.src.rpm
libldb-2.6.1-1.fc37.x86_64,3,579384,libldb-2.6.1-1.fc37.src.rpm
lua-libs-5.4.4-4.fc37.x86_64,2,555992,lua-5.4.4-4.fc37.src.rpm
e2fsprogs-libs-1.46.5-3.fc37.x86_64,0,549089,e2fsprogs-1.46.5-3.fc37.src.rpm
kbd-legacy-2.5.1-3.fc37.noarch,3,546276,kbd-2.5.1-3.fc37.src.rpm
json-glib-1.6.6-3.fc37.x86_64,0,542764,json-glib-1.6.6-3.fc37.src.rpm
libcurl-minimal-7.85.0-4.fc37.x86_64,11,536032,curl-7.85.0-4.fc37.src.rpm
iptables-nft-1.8.8-3.fc37.x86_64,3,529968,iptables-1.8.8-3.fc37.src.rpm
pcre-8.45-1.fc37.2.x86_64,0,517221,pcre-8.45-1.fc37.2.src.rpm
isns-utils-libs-0.101-5.fc37.x86_64,0,516664,isns-utils-0.101-5.fc37.src.rpm
ostree-2022.6-1.fc37.x86_64,5,489617,ostree-2022.6-1.fc37.src.rpm
gpgme-1.17.0-4.fc37.x86_64,2,487966,gpgme-1.17.0-4.fc37.src.rpm
socat-1.7.4.2-3.fc37.x86_64,0,483952,socat-1.7.4.2-3.fc37.src.rpm
iputils-20211215-3.fc37.x86_64,0,481321,iputils-20211215-3.fc37.src.rpm
dnsmasq-2.87-1.fc37.x86_64,5,470033,dnsmasq-2.87-1.fc37.src.rpm
libidn2-2.3.4-1.fc37.x86_64,2,462368,libidn2-2.3.4-1.fc37.src.rpm
chrony-4.3-1.fc37.x86_64,5,455916,chrony-4.3-1.fc37.src.rpm
p11-kit-trust-0.24.1-3.fc37.x86_64,0,451513,p11-kit-0.24.1-3.fc37.src.rpm
crun-1.7-1.fc37.x86_64,6,428640,crun-1.7-1.fc37.src.rpm
readline-8.2-2.fc37.x86_64,1,426089,readline-8.2-2.fc37.src.rpm
passwd-0.80-13.fc37.x86_64,0,425905,passwd-0.80-13.fc37.src.rpm
xz-5.2.5-10.fc37.x86_64,1,421006,xz-5.2.5-10.fc37.src.rpm
squashfs-tools-4.5.1-2.fc37.x86_64,19,417192,squashfs-tools-4.5.1-2.fc37.src.rpm
libsmbios-2.4.3-7.fc37.x86_64,0,401382,libsmbios-2.4.3-7.fc37.src.rpm
nfs-utils-coreos-1:2.6.2-2.rc4.fc37.x86_64,13,400652,nfs-utils-2.6.2-2.rc4.fc37.src.rpm
dbus-broker-32-1.fc37.x86_64,2,399212,dbus-broker-32-1.fc37.src.rpm
libpwquality-1.4.4-11.fc37.x86_64,0,397443,libpwquality-1.4.4-11.fc37.src.rpm
libbpf-2:0.8.0-2.fc37.x86_64,5,397432,libbpf-0.8.0-2.fc37.src.rpm
gettext-runtime-0.21.1-1.fc37.x86_64,8,393197,gettext-0.21.1-1.fc37.src.rpm
dbus-libs-1:1.14.4-1.fc37.x86_64,6,382559,dbus-1.14.4-1.fc37.src.rpm
efivar-libs-38-5.fc37.x86_64,2,379824,efivar-38-5.fc37.src.rpm
jq-1.6-14.fc37.x86_64,1,377888,jq-1.6-14.fc37.src.rpm
device-mapper-libs-1.02.175-9.fc37.x86_64,0,377416,lvm2-2.03.11-9.fc37.src.rpm
polkit-121-4.fc37.x86_64,5,373452,polkit-121-4.fc37.src.rpm
libfdisk-2.38.1-1.fc37.x86_64,5,361841,util-linux-2.38.1-1.fc37.src.rpm
sssd-ad-2.8.1-1.fc37.x86_64,9,345544,sssd-2.8.1-1.fc37.src.rpm
conmon-2:2.1.5-1.fc37.x86_64,5,329467,conmon-2.1.5-1.fc37.src.rpm
userspace-rcu-0.13.0-5.fc37.x86_64,0,325037,userspace-rcu-0.13.0-5.fc37.src.rpm
libpcap-14:1.10.1-4.fc37.x86_64,0,312364,libpcap-1.10.1-4.fc37.src.rpm
libksba-1.6.2-1.fc37.x86_64,2,308110,libksba-1.6.2-1.fc37.src.rpm
ncurses-base-6.3-3.20220501.fc37.noarch,2,301630,ncurses-6.3-3.20220501.fc37.src.rpm
libselinux-utils-3.4-5.fc37.x86_64,3,296576,libselinux-3.4-5.fc37.src.rpm
libmount-2.38.1-1.fc37.x86_64,5,292907,util-linux-2.38.1-1.fc37.src.rpm
samba-common-libs-2:4.17.3-0.fc37.x86_64,23,290816,samba-4.17.3-0.fc37.src.rpm
curl-7.85.0-4.fc37.x86_64,11,287744,curl-7.85.0-4.fc37.src.rpm
fuse-libs-2.9.9-15.fc37.x86_64,0,286976,fuse-2.9.9-15.fc37.src.rpm
sg3_utils-libs-1.46-4.fc37.x86_64,0,280896,sg3_utils-1.46-4.fc37.src.rpm
audit-libs-3.0.9-1.fc37.x86_64,4,280160,audit-3.0.9-1.fc37.src.rpm
sssd-client-2.8.1-1.fc37.x86_64,9,275776,sssd-2.8.1-1.fc37.src.rpm
ncurses-6.3-3.20220501.fc37.x86_64,2,275360,ncurses-6.3-3.20220501.fc37.src.rpm
libsemanage-3.4-5.fc37.x86_64,5,270096,libsemanage-3.4-5.fc37.src.rpm
libxmlb-0.3.10-1.fc37.x86_64,3,267780,libxmlb-0.3.10-1.fc37.src.rpm
teamd-1.31-6.fc37.x86_64,0,262569,libteam-1.31-6.fc37.src.rpm
fuse3-libs-3.10.5-5.fc37.x86_64,2,262240,fuse3-3.10.5-5.fc37.src.rpm
device-mapper-1.02.175-9.fc37.x86_64,0,261785,lvm2-2.03.11-9.fc37.src.rpm
less-590-5.fc37.x86_64,1,250811,less-590-5.fc37.src.rpm
device-mapper-multipath-0.9.0-4.fc37.x86_64,4,245206,device-mapper-multipath-0.9.0-4.fc37.src.rpm
libedit-3.1-43.20221009cvs.fc37.x86_64,1,243391,libedit-3.1-43.20221009cvs.fc37.src.rpm
cryptsetup-2.5.0-1.fc37.x86_64,2,235362,cryptsetup-2.5.0-1.fc37.src.rpm
libblkid-2.38.1-1.fc37.x86_64,5,234736,util-linux-2.38.1-1.fc37.src.rpm
libfido2-1.11.0-3.fc37.x86_64,3,225434,libfido2-1.11.0-3.fc37.src.rpm
expat-2.5.0-1.fc37.x86_64,4,221064,expat-2.5.0-1.fc37.src.rpm
cracklib-2.9.7-30.fc37.x86_64,1,215687,cracklib-2.9.7-30.fc37.src.rpm
libnftnl-1.2.2-2.fc37.x86_64,1,215496,libnftnl-1.2.2-2.fc37.src.rpm
libuv-1:1.44.2-2.fc37.x86_64,3,212618,libuv-1.44.2-2.fc37.src.rpm
sssd-common-pac-2.8.1-1.fc37.x86_64,9,212288,sssd-2.8.1-1.fc37.src.rpm
libxcrypt-4.4.33-3.fc37.x86_64,7,209496,libxcrypt-4.4.33-3.fc37.src.rpm
polkit-libs-121-4.fc37.x86_64,5,208976,polkit-121-4.fc37.src.rpm
librepo-1.14.4-1.fc37.x86_64,2,207416,librepo-1.14.4-1.fc37.src.rpm
linux-firmware-whence-20221109-144.fc37.noarch,15,203715,linux-firmware-20221109-144.fc37.src.rpm
cifs-utils-6.15-2.fc37.x86_64,1,201672,cifs-utils-6.15-2.fc37.src.rpm
acl-2.3.1-4.fc37.x86_64,0,200508,acl-2.3.1-4.fc37.src.rpm
libnvme-1.2-1.fc37.x86_64,9,199318,libnvme-1.2-1.fc37.src.rpm
libgcab1-1.5-1.fc37.x86_64,1,197534,gcab-1.5-1.fc37.src.rpm
libtirpc-1.3.3-0.fc37.x86_64,3,197280,libtirpc-1.3.3-0.fc37.src.rpm
iscsi-initiator-utils-iscsiuio-6.2.1.4-6.git2a8f9d8.fc37.x86_64,0,192591,iscsi-initiator-utils-6.2.1.4-6.git2a8f9d8.fc37.src.rpm
dracut-network-057-5.fc37.x86_64,6,191879,dracut-057-5.fc37.src.rpm
libjcat-0.1.12-1.fc37.x86_64,2,190546,libjcat-0.1.12-1.fc37.src.rpm
