Name,Frequency,Size,Src
which-2.21-35.fc37.x86_64,2,29312,which-2.21-35.fc37.src.rpm
libmnl-1.0.5-1.fc37.x86_64,1,29008,libmnl-1.0.5-1.fc37.src.rpm
libattr-2.5.1-5.fc37.x86_64,0,28648,attr-2.5.1-5.fc37.src.rpm
luksmeta-9-14.fc37.x86_64,0,28640,luksmeta-9-14.fc37.src.rpm
sssd-ldap-2.8.1-1.fc37.x86_64,9,28272,sssd-2.8.1-1.fc37.src.rpm
libipa_hbac-2.8.1-1.fc37.x86_64,9,27899,sssd-2.8.1-1.fc37.src.rpm
hostname-3.23-7.fc37.x86_64,0,25024,hostname-3.23-7.fc37.src.rpm
libcom_err-1.46.5-3.fc37.x86_64,0,24496,e2fsprogs-1.46.5-3.fc37.src.rpm
npth-1.6-9.fc37.x86_64,0,24120,npth-1.6-9.fc37.src.rpm
cloud-utils-growpart-0.31-11.fc37.noarch,0,22517,cloud-utils-0.31-11.fc37.src.rpm
iptables-services-1.8.8-3.fc37.noarch,3,22170,iptables-1.8.8-3.fc37.src.rpm
libsss_sudo-2.8.1-1.fc37.x86_64,9,20496,sssd-2.8.1-1.fc37.src.rpm
libdhash-0.5.0-52.fc37.x86_64,1,20376,ding-libs-0.6.2-52.fc37.src.rpm
libpath_utils-0.2.1-52.fc37.x86_64,1,20360,ding-libs-0.6.2-52.fc37.src.rpm
bind-license-32:9.18.8-1.fc37.noarch,10,19697,bind-9.18.8-1.fc37.src.rpm
vim-data-2:9.0.963-1.fc37.noarch,29,18058,vim-9.0.963-1.fc37.src.rpm
fedora-release-common-37-14.noarch,0,18015,fedora-release-37-14.src.rpm
sssd-krb5-2.8.1-1.fc37.x86_64,9,16172,sssd-2.8.1-1.fc37.src.rpm
rpm-plugin-selinux-4.18.0-1.fc37.x86_64,14,16152,rpm-4.18.0-1.fc37.src.rpm
libref_array-0.1.5-52.fc37.x86_64,1,16144,ding-libs-0.6.2-52.fc37.src.rpm
libbasicobjects-0.1.1-52.fc37.x86_64,1,16016,ding-libs-0.6.2-52.fc37.src.rpm
nss-altfiles-2.18.1-21.fc37.x86_64,0,15248,nss-altfiles-2.18.1-21.fc37.src.rpm
pkgconf-m4-1.8.0-3.fc37.noarch,0,12670,pkgconf-1.8.0-3.fc37.src.rpm
dbus-common-1:1.14.4-1.fc37.noarch,6,9715,dbus-1.14.4-1.fc37.src.rpm
selinux-policy-37.15-1.fc37.noarch,18,7734,selinux-policy-37.15-1.fc37.src.rpm
clevis-dracut-18-12.fc37.x86_64,3,6228,clevis-18-12.fc37.src.rpm
console-login-helper-messages-issuegen-0.21.3-3.fc37.noarch,2,6100,console-login-helper-messages-0.21.3-3.fc37.src.rpm
console-login-helper-messages-0.21.3-3.fc37.noarch,2,4231,console-login-helper-messages-0.21.3-3.fc37.src.rpm
pcre2-syntax-10.40-1.fc37.1.noarch,1,3574,pcre2-10.40-1.fc37.1.src.rpm
dracut-squash-057-5.fc37.x86_64,6,3308,dracut-057-5.fc37.src.rpm
afterburn-dracut-5.3.0-3.fc37.x86_64,3,3230,rust-afterburn-5.3.0-3.fc37.src.rpm
clevis-systemd-18-12.fc37.x86_64,3,2962,clevis-18-12.fc37.src.rpm
WALinuxAgent-udev-2.8.0.11-1.fc37.noarch,4,2380,WALinuxAgent-2.8.0.11-1.fc37.src.rpm
fedora-release-identity-coreos-37-14.noarch,0,1864,fedora-release-37-14.src.rpm
elfutils-default-yama-scope-0.187-8.fc37.noarch,8,1810,elfutils-0.187-8.fc37.src.rpm
console-login-helper-messages-motdgen-0.21.3-3.fc37.noarch,2,1472,console-login-helper-messages-0.21.3-3.fc37.src.rpm
pkgconf-pkg-config-1.8.0-3.fc37.x86_64,0,950,pkgconf-1.8.0-3.fc37.src.rpm
console-login-helper-messages-profile-0.21.3-3.fc37.noarch,2,728,console-login-helper-messages-0.21.3-3.fc37.src.rpm
nano-default-editor-6.4-1.fc37.noarch,4,272,nano-6.4-1.fc37.src.rpm
setup-2.14.1-2.fc37.noarch,2,178,setup-2.14.1-2.fc37.src.rpm
samba-common-2:4.17.3-0.fc37.noarch,23,67,samba-4.17.3-0.fc37.src.rpm
filesystem-3.18-2.fc37.x86_64,2,0,filesystem-3.18-2.fc37.src.rpm
